[4276311, 1462373, 8211497, 3923445, 2610092, 1132848, 664332, 737361, 303472, 128030, 458338, 527103, 115226]
卡利亚里	[4, 0, 0, 903, 0, 0, 0, 2, 0, 0, 0, 0, 0]
佩里	[30, 54, 61, 1259, 4, 149, 10, 26, 6, 1, 1, 8, 3]
国际米兰	[16, 0, 32, 4929, 78, 0, 3, 2, 0, 0, 0, 8, 1]
意甲	[31, 10, 42, 12143, 18, 7, 2, 5, 1, 1, 8, 41, 2]
坎德雷瓦	[0, 0, 0, 594, 0, 0, 0, 0, 0, 0, 0, 0, 0]
伊卡尔迪	[0, 0, 1, 2168, 0, 0, 0, 0, 0, 0, 0, 0, 0]
卡拉莫	[0, 3, 1, 277, 0, 0, 2, 2, 0, 0, 0, 0, 0]
破门	[65, 72, 79, 22912, 20, 33, 13, 22, 2, 4, 15, 50, 0]
坎塞洛	[0, 0, 0, 544, 0, 0, 0, 0, 0, 0, 0, 0, 0]
拉菲尼亚	[0, 0, 0, 1587, 0, 0, 0, 0, 0, 0, 0, 0, 0]
乌迪内斯	[0, 0, 0, 1382, 0, 0, 0, 0, 0, 0, 0, 1, 0]
什克里尼亚	[0, 0, 0, 534, 0, 0, 0, 0, 0, 0, 0, 0, 0]
罗西	[32, 23, 39, 1085, 54, 71, 38, 20, 2, 0, 14, 22, 2]
亚特兰大	[237, 103, 302, 2648, 66, 25, 51, 40, 5, 0, 19, 103, 1]
米兰	[326, 333, 503, 10458, 283, 109, 859, 373, 39, 2, 13, 18, 156]
罗马尼亚	[114, 53, 230, 1032, 30, 276, 34, 83, 3, 4, 7, 38, 2]
维戈塞尔塔	[0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0]
登贝莱	[1, 3, 3, 3499, 0, 0, 1, 0, 0, 0, 0, 15, 0]
巴塞罗那	[888, 48, 389, 7810, 197, 27, 65, 220, 12, 0, 6, 62, 32]
特尔施特根	[0, 0, 0, 1389, 0, 0, 0, 1, 0, 0, 0, 4, 0]
戈麦斯	[11, 10, 11, 3269, 2, 1, 2, 2, 0, 0, 0, 5, 0]
巴萨	[168, 28, 86, 27668, 8, 29, 9, 89, 39, 0, 0, 75, 1]
迪涅	[0, 0, 0, 712, 0, 0, 0, 0, 0, 0, 0, 0, 0]
库蒂尼奥	[2, 0, 2, 5335, 0, 0, 0, 0, 0, 0, 0, 6, 0]
保利尼奥	[0, 0, 9, 3444, 0, 0, 0, 1, 0, 0, 0, 6, 0]
丹尼斯-苏亚雷斯	[0, 0, 0, 588, 0, 0, 0, 0, 0, 0, 0, 0, 0]
罗贝托	[0, 2, 1, 1348, 0, 1, 0, 0, 0, 0, 0, 2, 0]
西甲	[65, 19, 79, 15640, 5, 2, 3, 12, 1, 0, 1, 59, 0]
协防	[3, 9, 1, 2032, 0, 58, 0, 2, 0, 0, 0, 21, 0]
马德里竞技	[6, 1, 42, 2151, 0, 0, 0, 1, 0, 0, 0, 11, 0]
梅西	[110, 57, 183, 15393, 26, 30, 26, 42, 3, 1, 0, 78, 2]
胡萝卜	[194, 148, 303, 41, 24, 63, 229, 269, 9129, 7, 2893, 53, 11]
纤维	[2176, 219, 1685, 202, 4836, 439, 1463, 331, 2277, 162, 6818, 42, 580]
叶子	[337, 240, 237, 24, 242, 35, 222, 812, 1792, 94, 228, 37, 158]
咸肉	[8, 2, 8, 1, 1, 11, 4, 46, 661, 0, 87, 3, 0]
南极	[471, 143, 393, 13, 38, 145, 90, 577, 478, 7, 4, 36, 9]
三文鱼	[90, 31, 144, 25, 8, 9, 166, 377, 757, 0, 189, 23, 2]
骨刺	[7, 10, 20, 45, 1, 6, 4, 15, 230, 0, 76, 8, 3]
营养师	[158, 58, 110, 125, 0, 8, 97, 24, 336, 7, 593, 6, 2]
胆固醇	[193, 58, 274, 6, 7, 19, 130, 58, 1839, 9, 3569, 0, 9]
脂肪	[708, 398, 904, 133, 41, 67, 1771, 492, 4521, 172, 10669, 23, 26]
土豆泥	[30, 9, 14, 2, 2, 4, 49, 77, 516, 1, 55, 5, 0]
辅食	[178, 18, 82, 0, 5, 1, 25, 14, 705, 4, 614, 1, 15]
土豆	[488, 324, 625, 73, 40, 85, 174, 627, 3296, 8, 774, 90, 18]
来一	[15296, 6335, 25756, 8841, 7748, 2730, 5975, 5794, 4130, 1457, 1745, 4515, 1223]
免疫	[1244, 242, 2459, 46, 52, 112, 419, 217, 1354, 114, 8632, 399, 48]
开锅	[52, 46, 110, 22, 97, 20, 27, 66, 2179, 4, 130, 10, 5]
祛痘	[64, 42, 43, 0, 14, 1, 472, 29, 521, 73, 170, 0, 12]
花花	[372, 836, 458, 174, 145, 71, 624, 1003, 868, 201, 70, 132, 171]
雨润	[17, 3, 160, 0, 5, 2, 13, 24, 176, 2, 0, 3, 1]
江南	[592, 1282, 2107, 111, 490, 538, 420, 3448, 1102, 54, 72, 211, 109]
